TIME,ITERATION,OBJECTIVE,TYPE,DETAIL
4/3/26, 4:28:26 PM PDT,55000,4.030482233999651E12,Status,"Scheduler still changing by 7443326.929639784% over 50921 attempts, target is 0.1%"
4/3/26, 4:29:06 PM PDT,110000,3.6127856374151533E12,Status,"Scheduler still changing by 11.561621377662135% over 51989 attempts, target is 0.1%"
4/3/26, 4:29:50 PM PDT,165000,3.5559407935551357E12,Status,"Scheduler still changing by 1.5985880294476333% over 51996 attempts, target is 0.1%"
4/3/26, 4:30:14 PM PDT,200000,3.4678968290625093E12,Scheduling,
4/3/26, 4:30:29 PM PDT,220000,3.4594978575210425E12,Status,"Scheduler still changing by 2.787772677020848% over 52052 attempts, target is 0.1%"
4/3/26, 4:31:09 PM PDT,275000,3.4570731769487427E12,Status,"Change 0.07013680209222123% less than global target of 0.1%"
4/3/26, 4:31:09 PM PDT,275093,3.4570731769487427E12,Save scenario,"Save stage scenario_l15h5 to C:\Users\boyd01.stu\Documents\GitHub\femic-k3z-instance----Intensive-Silviculture\models\k3z_patchworks_model\analysis\scenario_l15h5"
4/3/26, 4:31:46 PM PDT,275093,3.4570731769487427E12,Save completed,""
4/3/26, 4:40:01 PM PDT,275106,2.940991960273245E15,Target values changed,"Changes started at 4/3/26, 4:40:00 PM PDT"
4/3/26, 4:40:01 PM PDT,275107,2.8346453537572655E15,Status,"Wait for 0.1 improvement over 50000 attempts"
4/3/26, 4:40:49 PM PDT,330000,7.204383924820943E10,Status,"Scheduler still changing by 4164362.1010039817% over 51259 attempts, target is 0.1%"
4/3/26, 4:41:37 PM PDT,385000,2.0279438943811497E10,Status,"Scheduler still changing by 255.255583982487% over 51112 attempts, target is 0.1%"
4/3/26, 4:41:48 PM PDT,400000,1.8840717801252296E10,Scheduling,
4/3/26, 4:42:17 PM PDT,440000,1.7056919254778404E10,Status,"Scheduler still changing by 18.892741654565324% over 50981 attempts, target is 0.1%"
4/3/26, 4:43:02 PM PDT,495000,1.46772875060521E10,Status,"Scheduler still changing by 16.21302129392149% over 51062 attempts, target is 0.1%"
4/3/26, 4:43:57 PM PDT,550000,1.3997600750988901E10,Status,"Scheduler still changing by 4.855737544987341% over 51307 attempts, target is 0.1%"
4/3/26, 4:44:33 PM PDT,600000,1.3928823084921902E10,Scheduling,
4/3/26, 4:44:37 PM PDT,605000,1.3927514661103502E10,Status,"Scheduler still changing by 0.5032203633655756% over 50795 attempts, target is 0.1%"
4/3/26, 4:45:19 PM PDT,660000,1.3742230226984602E10,Status,"Scheduler still changing by 1.3482850385890854% over 50220 attempts, target is 0.1%"
4/3/26, 4:46:06 PM PDT,715000,1.3715464978514801E10,Status,"Scheduler still changing by 0.19514648983267108% over 50670 attempts, target is 0.1%"
4/3/26, 4:47:03 PM PDT,775000,1.2576771440510801E10,Status,"Scheduler still changing by 9.053941573082703% over 54269 attempts, target is 0.1%"
4/3/26, 4:47:21 PM PDT,800000,1.25241869525657E10,Scheduling,
4/3/26, 4:47:42 PM PDT,830000,1.24929159154983E10,Status,"Scheduler still changing by 0.671224601043479% over 50755 attempts, target is 0.1%"
4/3/26, 4:48:31 PM PDT,885000,1.0896941331940804E10,Status,"Scheduler still changing by 14.646078518193193% over 50600 attempts, target is 0.1%"
4/3/26, 4:49:13 PM PDT,940000,1.04941913712348E10,Status,"Scheduler still changing by 3.8378370134354958% over 50963 attempts, target is 0.1%"
4/3/26, 4:49:58 PM PDT,995000,9.9438844104219E9,Status,"Scheduler still changing by 5.534124675022767% over 51048 attempts, target is 0.1%"
4/3/26, 4:50:02 PM PDT,1000000,9.941966710308E9,Scheduling,
4/3/26, 4:50:37 PM PDT,1050000,9.918881915533497E9,Status,"Scheduler still changing by 0.2520696899238986% over 50454 attempts, target is 0.1%"
4/3/26, 4:51:23 PM PDT,1115000,9.918881915533497E9,Status,"Change 0.0% less than global target of 0.1%"
4/3/26, 4:51:23 PM PDT,1115098,9.918881915533497E9,Save scenario,"Save stage scenario_base to C:\Users\boyd01.stu\Documents\GitHub\femic-k3z-instance----Intensive-Silviculture\models\k3z_patchworks_model\analysis\scenario_base"
