CURVE,X,Y
97,90,48.5
97,100,54.4
97,110,59.9
97,120,65
97,130,69.7
97,140,73.8
97,150,77.6
97,160,81.1
97,170,84.3
97,180,87.2
97,190,89.9
97,200,92.2
97,210,94.4
97,220,96.3
437,89,0
437,90,133.3
437,100,150.8
437,110,166.9
437,120,181.7
437,130,195.7
437,140,208.2
437,150,219.6
437,160,229.9
182,89,0
182,90,111
182,100,125.7
182,110,139.1
182,120,151.4
182,130,163.1
182,140,173.5
182,150,183
182,160,191.6
436,89,0
436,90,310.9
436,100,351.8
436,110,389.3
436,120,424.1
436,130,456.6
436,140,485.9
436,150,512.4
436,160,536.5
181,89,0
181,90,266.6
181,100,301.5
181,110,333.7
181,120,363.5
181,130,391.4
181,140,416.5
181,150,439.2
181,160,459.8
332,89,0
332,90,393.2
332,100,440.6
332,110,485
332,120,526.7
332,130,564.4
332,140,598.1
332,150,628.6
332,160,657.1
332,170,682.7
332,180,706.1
332,190,727.9
332,200,747.1
332,210,764.5
332,220,780.2
438,89,0
438,90,444.2
438,100,502.6
438,110,556.2
438,120,605.8
438,130,652.3
438,140,694.1
438,150,732
438,160,766.4
333,89,0
333,90,485.4
333,100,544
333,110,598.8
333,120,650.3
333,130,696.8
333,140,738.4
333,150,776
333,160,811.2
333,170,842.8
333,180,871.7
333,190,898.7
333,200,922.3
333,210,943.8
333,220,963.2
183,89,0
183,90,444.2
183,100,502.6
183,110,556.2
183,120,605.8
183,130,652.3
183,140,694.1
183,150,732
183,160,766.4
186,89,0
186,160,0
186,161,1
103,89,0
103,200,0
103,201,1
185,89,0
185,110,0
185,111,1
185,160,1
185,161,0
102,89,0
102,110,0
102,111,1
102,200,1
102,201,0
99,89,0
99,90,485.4
99,100,544
99,110,598.8
99,120,650.3
99,130,696.8
99,140,738.4
99,150,776
99,160,811.2
99,170,842.8
99,180,871.7
99,190,898.7
99,200,922.3
99,210,943.8
99,220,963.2
98,89,0
98,90,339.8
98,100,380.8
98,110,419.1
98,120,455.2
98,130,487.7
98,140,516.9
98,150,543.2
98,160,567.9
98,170,589.9
98,180,610.2
98,190,629.1
98,200,645.6
98,210,660.6
98,220,674.3
96,89,0
96,90,97.1
96,100,108.8
96,110,119.8
96,120,130.1
96,130,139.4
96,140,147.7
96,150,155.2
96,160,162.2
96,170,168.6
96,180,174.3
96,190,179.7
96,200,184.5
96,210,188.8
96,220,192.6
74,69,0
128,69,0
128,70,0.1
127,69,0
127,70,0.2
525,69,0
525,70,0.3
479,69,0
479,70,0.32
77,69,0
77,70,0.25
478,69,0
478,70,0.68
352,69,0
352,70,0.8
129,69,0
129,70,0.7
76,69,0
76,70,0.6
75,69,0
