TRACK,BEGIN,END,TREATMENT,MANUAL,NEWTRACK,ADJUST,OFFSET,RETAIN,CURVE,CYCLE,ELIGIBILITY
396,80,999,CC,false,396,A,0,0,,0,
398,80,999,CC,false,399,A,0,0,,0,
399,80,999,CC,false,399,A,0,0,,0,
401,100,999,CC,false,401,A,0,0,,0,
401,40,40,CT,false,402,R,0,0,,0,
402,100,999,CC,false,401,A,0,0,,0,
402,66,66,F1,false,403,R,0,0,,0,
403,100,999,CC,false,401,A,0,0,,0,
403,76,76,F2,false,404,R,0,0,,0,
404,100,999,CC,false,401,A,0,0,,0,
404,86,86,F3,false,405,R,0,0,,0,
405,100,999,CC,false,401,A,0,0,,0,
407,70,999,CC,false,408,A,0,0,,0,
408,70,999,CC,false,408,A,0,0,,0,
410,80,999,CC,false,410,A,0,0,,0,
412,100,999,CC,false,413,A,0,0,,0,
413,100,999,CC,false,413,A,0,0,,0,
415,90,999,CC,false,416,A,0,0,,0,
416,90,999,CC,false,416,A,0,0,,0,
418,80,999,CC,false,419,A,0,0,,0,
419,80,999,CC,false,419,A,0,0,,0,
421,80,999,CC,false,421,A,0,0,,0,
423,70,999,CC,false,423,A,0,0,,0,
425,70,999,CC,false,425,A,0,0,,0,
428,80,999,CC,false,429,A,0,0,,0,
429,80,999,CC,false,429,A,0,0,,0,
431,70,999,CC,false,431,A,0,0,,0,
431,40,40,CT,false,432,R,0,0,,0,
432,70,999,CC,false,431,A,0,0,,0,
432,51,51,F1,false,433,R,0,0,,0,
433,70,999,CC,false,431,A,0,0,,0,
433,61,61,F2,false,434,R,0,0,,0,
434,70,999,CC,false,431,A,0,0,,0,
434,71,71,F3,false,435,R,0,0,,0,
435,70,999,CC,false,431,A,0,0,,0,
438,70,999,CC,false,438,A,0,0,,0,
438,40,40,CT,false,439,R,0,0,,0,
439,70,999,CC,false,438,A,0,0,,0,
439,51,51,F1,false,440,R,0,0,,0,
440,70,999,CC,false,438,A,0,0,,0,
440,61,61,F2,false,441,R,0,0,,0,
441,70,999,CC,false,438,A,0,0,,0,
441,71,71,F3,false,442,R,0,0,,0,
442,70,999,CC,false,438,A,0,0,,0,
444,70,999,CC,false,444,A,0,0,,0,
446,70,999,CC,false,446,A,0,0,,0,
448,70,999,CC,false,4,A,0,0,,0,
450,70,999,CC,false,451,A,0,0,,0,
451,70,999,CC,false,451,A,0,0,,0,
453,90,999,CC,false,453,A,0,0,,0,
453,40,40,CT,false,454,R,0,0,,0,
454,90,999,CC,false,453,A,0,0,,0,
454,56,56,F1,false,455,R,0,0,,0,
455,90,999,CC,false,453,A,0,0,,0,
455,66,66,F2,false,456,R,0,0,,0,
456,90,999,CC,false,453,A,0,0,,0,
456,76,76,F3,false,457,R,0,0,,0,
457,90,999,CC,false,453,A,0,0,,0,
459,100,999,CC,false,460,A,0,0,,0,
460,100,999,CC,false,460,A,0,0,,0,
460,40,40,CT,false,461,R,0,0,,0,
461,100,999,CC,false,460,A,0,0,,0,
461,66,66,F1,false,462,R,0,0,,0,
462,100,999,CC,false,460,A,0,0,,0,
462,76,76,F2,false,463,R,0,0,,0,
463,100,999,CC,false,460,A,0,0,,0,
463,86,86,F3,false,464,R,0,0,,0,
464,100,999,CC,false,460,A,0,0,,0,
466,70,999,CC,false,466,A,0,0,,0,
466,40,40,CT,false,467,R,0,0,,0,
467,70,999,CC,false,466,A,0,0,,0,
467,54,54,F1,false,468,R,0,0,,0,
468,70,999,CC,false,466,A,0,0,,0,
468,64,64,F2,false,469,R,0,0,,0,
469,70,999,CC,false,466,A,0,0,,0,
469,74,74,F3,false,470,R,0,0,,0,
470,70,999,CC,false,466,A,0,0,,0,
472,80,999,CC,false,473,A,0,0,,0,
473,80,999,CC,false,473,A,0,0,,0,
475,80,999,CC,false,475,A,0,0,,0,
477,90,999,CC,false,478,A,0,0,,0,
478,90,999,CC,false,478,A,0,0,,0,
480,70,999,CC,false,481,A,0,0,,0,
481,70,999,CC,false,481,A,0,0,,0,
483,90,999,CC,false,484,A,0,0,,0,
484,90,999,CC,false,484,A,0,0,,0,
486,90,999,CC,false,487,A,0,0,,0,
487,90,999,CC,false,487,A,0,0,,0,
489,80,999,CC,false,490,A,0,0,,0,
490,80,999,CC,false,490,A,0,0,,0,
492,70,999,CC,false,493,A,0,0,,0,
493,70,999,CC,false,493,A,0,0,,0,
493,40,40,CT,false,494,R,0,0,,0,
494,70,999,CC,false,493,A,0,0,,0,
494,51,51,F1,false,495,R,0,0,,0,
495,70,999,CC,false,493,A,0,0,,0,
495,61,61,F2,false,496,R,0,0,,0,
496,70,999,CC,false,493,A,0,0,,0,
496,71,71,F3,false,497,R,0,0,,0,
497,70,999,CC,false,493,A,0,0,,0,
499,70,999,CC,false,499,A,0,0,,0,
501,80,999,CC,false,502,A,0,0,,0,
502,80,999,CC,false,502,A,0,0,,0,
