TRACK,LABEL,METHOD,CURVE
11,feature.Seral.CWHvm_HW_FDC_H.immature,,37
11,feature.Seral.CWHvm_HW_FDC_H.mature,,38
11,feature.Seral.CWHvm_HW_FDC_H.overmature,,39
11,feature.Seral.CWHvm_HW_FDC_H.regenerating,,7
11,feature.Seral.CWHvm_HW_FDC_H.young,,8
11,feature.Seral.immature,,37
11,feature.Seral.mature,,38
11,feature.Seral.overmature,,39
11,feature.Seral.regenerating,,7
11,feature.Seral.young,,8
11,feature.SpeciesProp.unmanaged.CW,,11
11,feature.SpeciesProp.unmanaged.FDC,,9
11,feature.SpeciesProp.unmanaged.HW,,142
11,feature.Yield.unmanaged.CW,,143
11,feature.Yield.unmanaged.FDC,,144
11,feature.Yield.unmanaged.HW,,145
11,feature.Yield.unmanaged.Total,,146
12,feature.Area.managed,,2
12,feature.Area.og1.CWHvm_HW_FDC_H,,140
12,feature.Area.og1.total,,140
12,feature.Area.og2.CWHvm_HW_FDC_H,,1
12,feature.Area.og2.total,,1
12,feature.QMD.managed.CWHvm_HW_FDC_H,,147
12,feature.Seral.CWHvm_HW_FDC_H.immature,,37
12,feature.Seral.CWHvm_HW_FDC_H.mature,,38
12,feature.Seral.CWHvm_HW_FDC_H.overmature,,39
12,feature.Seral.CWHvm_HW_FDC_H.regenerating,,7
12,feature.Seral.CWHvm_HW_FDC_H.young,,8
12,feature.Seral.immature,,37
12,feature.Seral.mature,,38
12,feature.Seral.overmature,,39
12,feature.Seral.regenerating,,7
12,feature.Seral.young,,8
12,feature.SpeciesProp.managed.CW,,18
12,feature.SpeciesProp.managed.FDC,,17
12,feature.SpeciesProp.managed.HW,,10
12,feature.Yield.managed.CW,,148
12,feature.Yield.managed.FDC,,149
12,feature.Yield.managed.HW,,150
12,feature.Yield.managed.Total,,151
13,feature.Area.og1.CWHvm_DR_HW_M,,0
13,feature.Area.og1.total,,0
13,feature.Area.og2.CWHvm_DR_HW_M,,1
13,feature.Area.og2.total,,1
13,feature.Area.unmanaged,,2
13,feature.QMD.unmanaged.CWHvm_DR_HW_M,,159
13,feature.Seral.CWHvm_DR_HW_M.immature,,4
13,feature.Seral.CWHvm_DR_HW_M.mature,,5
13,feature.Seral.CWHvm_DR_HW_M.overmature,,6
