TRACK,STRATA
65,1.0 x 0+treatment()+AU(9.85502006E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(1.0)
66,1.0 x 0+treatment()+AU(9.85501E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.233140682165)
67,1.0 x 0+treatment()+AU(9.85501E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.233140682165)
68,1.0 x 0+treatment()+AU(9.85503E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.126259452096)
69,1.0 x 0+treatment()+AU(9.85503E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.126259452096)
70,1.0 x 0+treatment()+AU(9.85502007E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.303810256611)
71,1.0 x 0+treatment()+AU(9.85502007E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.303810256611)
72,1.0 x 0+treatment()+AU(9.85502007E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.303810256611)
73,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0952753308691)
74,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0952753308691)
75,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct)+RETENTION(0.0952753308691)
76,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1)+RETENTION(0.0952753308691)
77,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2)+RETENTION(0.0952753308691)
78,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2_f3)+RETENTION(0.0952753308691)
79,1.0 x 0+treatment()+AU(9.85503E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.499078884898)
80,1.0 x 0+treatment()+AU(9.85503E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.499078884898)
81,1.0 x 0+treatment()+AU(9.85503003E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.787777652256)
82,1.0 x 0+treatment()+AU(9.85503003E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.787777652256)
83,1.0 x 0+treatment()+AU(9.85503003E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.787777652256)
84,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.336358892949)
85,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.336358892949)
86,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.336358892949)
87,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct)+RETENTION(0.336358892949)
88,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1)+RETENTION(0.336358892949)
89,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2)+RETENTION(0.336358892949)
90,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2_f3)+RETENTION(0.336358892949)
91,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.07)
92,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.07)
93,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.07)
94,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct)+RETENTION(0.07)
95,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1)+RETENTION(0.07)
96,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2)+RETENTION(0.07)
97,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2_f3)+RETENTION(0.07)
98,1.0 x 0+treatment()+AU(9.85501003E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.918579276429)
99,1.0 x 0+treatment()+AU(9.85501003E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.918579276429)
100,1.0 x 0+treatment()+AU(9.85501003E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.918579276429)
101,1.0 x 0+treatment()+AU(9.85502003E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.101502634874)
102,1.0 x 0+treatment()+AU(9.85502003E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.101502634874)
103,1.0 x 0+treatment()+AU(9.85502003E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.101502634874)
104,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(1.0)
105,1.0 x 0+treatment()+AU(9.85501003E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.07)
106,1.0 x 0+treatment()+AU(9.85501003E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.07)
107,1.0 x 0+treatment()+AU(9.85501003E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.07)
108,1.0 x 0+treatment()+AU(9.85503E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.125551549758)
109,1.0 x 0+treatment()+AU(9.85503E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.125551549758)
110,1.0 x 0+treatment()+AU(9.85501E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.07)
111,1.0 x 0+treatment()+AU(9.85501E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.07)
112,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.138068148104)
113,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.138068148104)
114,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct)+RETENTION(0.138068148104)
115,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1)+RETENTION(0.138068148104)
116,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2)+RETENTION(0.138068148104)
117,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2_f3)+RETENTION(0.138068148104)
118,1.0 x 0+treatment()+AU(9.85501E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.12745779471)
119,1.0 x 0+treatment()+AU(9.85501E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.12745779471)
120,1.0 x 0+treatment()+AU(9.85501E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.12745779471)
121,1.0 x 0+treatment()+AU(9.85501E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0906154823104)
122,1.0 x 0+treatment()+AU(9.85501E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.0906154823104)
123,1.0 x 0+treatment()+AU(9.85501E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.0906154823104)
124,1.0 x 0+treatment()+AU(9.85502004E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.286074558662)
125,1.0 x 0+treatment()+AU(9.85502004E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.286074558662)
126,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.601783085223)
127,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.601783085223)
128,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct)+RETENTION(0.601783085223)
129,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1)+RETENTION(0.601783085223)
130,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2)+RETENTION(0.601783085223)
131,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2_f3)+RETENTION(0.601783085223)
132,1.0 x 0+treatment()+AU(9.85501003E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.316831718676)
133,1.0 x 0+treatment()+AU(9.85501003E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.316831718676)
134,1.0 x 0+treatment()+AU(9.85501003E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.316831718676)
135,1.0 x 0+treatment()+AU(9.85503003E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.122959693532)
136,1.0 x 0+treatment()+AU(9.85503003E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.122959693532)
137,1.0 x 0+treatment()+AU(9.85503003E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.122959693532)
138,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.915365202588)
139,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.915365202588)
140,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.915365202588)
141,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct)+RETENTION(0.915365202588)
142,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1)+RETENTION(0.915365202588)
143,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2)+RETENTION(0.915365202588)
144,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2_f3)+RETENTION(0.915365202588)
145,1.0 x 0+treatment()+AU(9.85502004E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.07)
146,1.0 x 0+treatment()+AU(9.85502004E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.07)
147,1.0 x 0+treatment()+AU(9.85502004E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.893284997877)
148,1.0 x 0+treatment()+AU(9.85502004E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.893284997877)
149,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.430588720708)
150,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.430588720708)
151,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct)+RETENTION(0.430588720708)
152,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1)+RETENTION(0.430588720708)
153,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2)+RETENTION(0.430588720708)
154,1.0 x 0+treatment()+AU(9.85501001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2_f3)+RETENTION(0.430588720708)
155,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.905536880719)
156,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.905536880719)
157,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.905536880719)
158,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct)+RETENTION(0.905536880719)
159,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1)+RETENTION(0.905536880719)
160,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2)+RETENTION(0.905536880719)
161,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2_f3)+RETENTION(0.905536880719)
162,1.0 x 0+treatment()+AU(9.85502008E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(1.0)
163,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(unmanaged)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.984923891173)
164,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(natural)+SILV_STATE(baseline)+RETENTION(0.984923891173)
165,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.984923891173)
166,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct)+RETENTION(0.984923891173)
167,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1)+RETENTION(0.984923891173)
168,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2)+RETENTION(0.984923891173)
169,1.0 x 0+treatment()+AU(9.85502002E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2_f3)+RETENTION(0.984923891173)
170,1.0 x 0+treatment()+AU(9.85503E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.724372367216)
171,1.0 x 0+treatment()+AU(9.85503E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.724372367216)
172,1.0 x 0+treatment()+AU(9.85503E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.689147680999)
173,1.0 x 0+treatment()+AU(9.85503E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.689147680999)
174,1.0 x 0+treatment()+AU(9.85501E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.256337605035)
175,1.0 x 0+treatment()+AU(9.85501E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.256337605035)
176,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(unmanaged)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.07)
177,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl)+RETENTION(0.07)
178,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct)+RETENTION(0.07)
179,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1)+RETENTION(0.07)
180,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2)+RETENTION(0.07)
181,1.0 x 0+treatment()+AU(9.85502001E8)+IFM(managed)+ORIGIN(planted)+SILV_STATE(cc_pl_ct_f1_f2_f3)+RETENTION(0.07)
